Sales document,Sales Document Item,Material,Material Group,Product hierarchy,Net Value,Order Quantity,Sales unit,Net Price,Material_Clean,Moving price,Unit_Price,Unit_Cost,Profit_Margin,Flag
10000000,10,202038003300,B0003,,2014781.9,356.0,EA,5659.5,202038003300,5371.0,5659.499719101123,5371.0,5.097618754665205,
10000000,10,202038003300,B0003,,2014781.9,356.0,EA,5659.5,202038003300,5463.0,5659.499719101123,5463.0,3.4720333749275767,
10000000,10,202038003300,B0003,,2014781.9,356.0,EA,5659.5,202038003300,5505.0,5659.499719101123,5505.0,2.729918310264746,
10000000,10,202038003300,B0003,,2014781.9,356.0,EA,5659.5,202038003300,5505.0,5659.499719101123,5505.0,2.729918310264746,
10000000,10,202038003300,B0003,,2014781.9,356.0,EA,5659.5,202038003300,5585.0,5659.499719101123,5585.0,1.3163658061450696,
10000001,10,202038003300,B0003,,11771760.0,2080.0,EA,5659.5,202038003300,5371.0,5659.5,5371.0,5.097623464970404,
10000001,10,202038003300,B0003,,11771760.0,2080.0,EA,5659.5,202038003300,5463.0,5659.5,5463.0,3.4720381659157167,
10000001,10,202038003300,B0003,,11771760.0,2080.0,EA,5659.5,202038003300,5505.0,5659.5,5505.0,2.7299231380864035,
10000001,10,202038003300,B0003,,11771760.0,2080.0,EA,5659.5,202038003300,5505.0,5659.5,5505.0,2.7299231380864035,
10000001,10,202038003300,B0003,,11771760.0,2080.0,EA,5659.5,202038003300,5585.0,5659.5,5585.0,1.3163707041258061,
10000002,10,202038003300,B0003,,3310807.62,585.0,EA,5659.5,202038003300,5371.0,5659.500205128205,5371.0,5.097626904700676,
10000002,10,202038003300,B0003,,3310807.62,585.0,EA,5659.5,202038003300,5463.0,5659.500205128205,5463.0,3.47204166456522,
10000002,10,202038003300,B0003,,3310807.62,585.0,EA,5659.5,202038003300,5505.0,5659.500205128205,5505.0,2.7299266636338158,
10000002,10,202038003300,B0003,,3310807.62,585.0,EA,5659.5,202038003300,5505.0,5659.500205128205,5505.0,2.7299266636338158,
10000002,10,202038003300,B0003,,3310807.62,585.0,EA,5659.5,202038003300,5585.0,5659.500205128205,5585.0,1.3163742809073318,
